,username,date,content
28,achietmokoginta,2021-06-13 10:04:51+00:00,"@NonaMaya222 Kalo ga salah memang mereka cuma nyiapin 750pc #BTSMeal , harusnya kalo emang sudah abis dimana2 kasi penjelasan."
29,achietmokoginta,2021-06-13 10:02:15+00:00,"Sangking cukupnya ampe di bikin es krim tu #BTSMeal , chill gitu loh jadi orang."
30,anianiyo,2021-06-13 09:00:43+00:00,Milo DinoEs ala Bakso Arema Cak Jojoe Sawangan.. murah gak pakai antri #BTSMeal *maap kepotong ✌🏻✌🏻 https://t.co/shmHS4U6Yw
31,minngennn,2021-06-13 01:52:01+00:00,"so pretty 💜
#BTSMeal #8yearswithBTS https://t.co/doPlzM4LtX"
32,ramadhantiara,2021-06-12 23:36:27+00:00,klo punya tumbler gak kepake... #BTSMeal #sekedaride biar gak cuma jadi pajangan... 😁 https://t.co/nGOjEIJ3bG
33,Rizkywinaya,2021-06-12 16:51:16+00:00,snack time in the midnight! #BTSMeal @McDonalds_ID #BTSxMcD https://t.co/RIyP4wkPKL
34,kembangtom,2021-06-12 15:47:04+00:00,マックのBTSmeal買ってみたけど、絶対こっちのラーメンの方がお得やし美味しいは〜 #BTSmeal
35,jokisoft,2021-06-12 14:07:25+00:00,"...malam minggu BTS (Bade Tumbas Sate)...👌🏼👌🏼😂

#jokisoft 
#satekambing 
#satekambingmadura
#btsmeal 
#bts
#btsarmy 
#army
#armyindonesia @ Daan Mogot,Kalideres Jakarta Barat https://t.co/fE6AEXTaQF"
36,RRYSGA,2021-06-12 09:46:53+00:00,"SO GUYS.. FINALLY I GET MY #BTSMeal 😍😍😭💜💜💜 너무 너무 줗아요.. 너무 이쁘다 그리구 너무 맛있습니다요 ㅠㅠㅠㅠㅠ 💜💜 보라해💜💜 @McDonalds @BTS_twt @McDonalds_ID 

#McDonaldsXBTS #2021BTSFESTA #8yearswithBTS #WePurpleYouMcD #BTSXMcD https://t.co/GORgGPTo5e"
37,KNisa138,2021-06-12 09:12:55+00:00,"Fotografer : @Amllaa_ 💜
- Kok kayak bocah sih Niss nya 😀
Kata @Amllaa_ masker nya udah kayak celemek makan bayi 😂

- Pejuang McD BTS meal 😣 gak ada BTS meal nya (jadi beli Boba doang)😭 semoga aja lain waktu ada lagi ya 😣
#BTSMeal #McDonaldsXBTS  @BTS_twt https://t.co/4Fs374YyaM"
